PLAYERS	14			PASSING				RUSHING			RECEIVING				MISC			TOTAL
PLAYER, TEAM POS	Player	Team	Position	    C/A	  YDS	   TD	  INT	 RUSH	  YDS	   TD	  REC	  YDS	   TD	  TAR	  2PC	 FUML	   TD	PTS
Brandon LaFell, Cin WR	Brandon LaFell	 Cin WR		0/0	0	0	0	1	-2	0	64	862	6	106	0	0	0	115
Sterling Shepard, NYG WR	Sterling Shepard	 NYG WR		0/0	0	0	0	3	31	0	65	683	8	105	0	0	0	114
Pierre Garcon, SF WR	Pierre Garcon	 SF WR		0/0	0	0	0	0	0	0	79	1041	3	116	0	0	0	113
Seahawks D/ST D/ST	#VALUE!	#VALUE!		0/0	0	0	0	0	0	0	0	0	0	0	0	0	1	113
DeAndre Hopkins, Hou WR	DeAndre Hopkins	 Hou WR		0/0	0	0	0	0	0	0	78	954	4	150	0	0	0	112
Willie Snead, NO WR	Willie Snead	 NO WR		42736	50	1	0	0	0	0	72	895	4	104	0	0	0	112
Mike Gillislee, Buf RB	Mike Gillislee	 Buf RB		0/0	0	0	0	101	577	8	9	50	1	11	0	0	0	111
Chandler Catanzaro, NYJ K	Chandler Catanzaro	 NYJ K		0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	111
Marvin Jones, Det WR	Marvin Jones	 Det WR		0/0	0	0	0	1	3	0	55	930	4	103	0	0	0	110
Robert Kelley, Wsh RB	Robert Kelley	 Wsh RB		0/0	0	0	0	168	704	6	12	82	1	18	0	0	0	110
Chargers D/ST D/ST	#VALUE!	#VALUE!		0/0	0	0	0	0	0	0	0	0	0	0	0	0	5	109
Nick Folk, TB K	Nick Folk	 TB K		0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	108
Buccaneers D/ST D/ST	#VALUE!	#VALUE!		0/0	0	0	0	0	0	0	0	0	0	0	0	0	4	108
Steve Smith Sr., Bal WR	Steve Smith Sr.	 Bal WR		0/0	0	0	0	0	0	0	70	799	5	103	2	0	0	107
Marqise Lee, Jax WR	Marqise Lee	 Jax WR		42736	20	1	0	6	35	0	63	851	3	105	0	1	1	107
Cameron Meredith, Chi WR	Cameron Meredith	 Chi WR		42736	2	1	0	1	6	0	66	888	4	96	0	2	0	107
Chris Boswell, Pit K	Chris Boswell	 Pit K		0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	106
Cameron Brate, TB TE	Cameron Brate	 TB TE		0/0	0	0	0	0	0	0	57	660	8	81	0	0	0	106
Martellus Bennett, GB TE	Martellus Bennett	 GB TE		0/0	0	0	0	2	10	0	55	701	7	73	0	0	0	105
Cole Beasley, Dal WR	Cole Beasley	 Dal WR		0/1	0	0	0	1	7	0	75	833	5	98	0	0	0	105
Christine Michael, GB RB	Christine Michael	 GB RB		0/0	0	0	0	148	583	7	22	107	1	29	0	1	0	105
Quincy Enunwa, NYJ WR	Quincy Enunwa	 NYJ WR		0/0	0	0	0	1	12	0	58	857	4	106	0	0	0	105
Case Keenum, LA QB	Case Keenum	 LA QB		196/322	2201	9	11	20	51	1	0	0	0	0	0	1	0	103
Stefon Diggs, Min WR  Q	Stefon Diggs	 Min WR  Q		0/0	0	0	0	3	10	0	84	903	3	111	0	0	0	103
Texans D/ST D/ST	#VALUE!	#VALUE!		0/0	0	0	0	0	0	0	0	0	0	0	0	0	2	102
Panthers D/ST D/ST	#VALUE!	#VALUE!		0/0	0	0	0	0	0	0	0	0	0	0	0	0	3	101
Anquan Boldin, Det WR	Anquan Boldin	 Det WR		0/0	0	0	0	0	0	0	67	584	8	95	0	0	0	99
Theo Riddick, Det RB  Q	Theo Riddick	 Det RB  Q		0/0	0	0	0	92	357	1	53	371	5	67	0	0	0	99
Zach Ertz, Phi TE	Zach Ertz	 Phi TE		0/0	0	0	0	0	0	0	78	816	4	106	0	0	0	98
Jordan Reed, Wsh TE	Jordan Reed	 Wsh TE		0/0	0	0	0	0	0	0	66	686	6	87	0	1	0	98
Dontrelle Inman, SD WR	Dontrelle Inman	 SD WR		0/0	0	0	0	0	0	0	58	810	4	94	0	0	0	98
Taylor Gabriel, Atl WR	Taylor Gabriel	 Atl WR		0/0	0	0	0	4	51	1	35	579	6	49	0	0	0	98
J.J. Nelson, Ari WR	J.J. Nelson	 Ari WR		0/0	0	0	0	4	83	1	34	568	6	74	0	1	0	98
Devontae Booker, Den RB	Devontae Booker	 Den RB		0/0	0	0	0	174	612	4	31	265	1	46	0	3	0	98
Darren Sproles, Phi RB	Darren Sproles	 Phi RB		0/0	0	0	0	94	438	2	52	427	2	71	0	0	0	97
Dan Carpenter, Buf K	Dan Carpenter	 Buf K		0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	97
Ted Ginn Jr., Car WR	Ted Ginn Jr.	 Car WR		0/0	0	0	0	14	98	0	54	752	4	95	0	2	0	95
Jerick McKinnon, Min RB	Jerick McKinnon	 Min RB		0/1	0	0	0	159	539	2	43	255	2	54	1	0	0	95
Phil Dawson, Ari K	Phil Dawson	 Ari K		0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	93
Roberto Aguayo, TB K	Roberto Aguayo	 TB K		0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	93
Dolphins D/ST D/ST	#VALUE!	#VALUE!		0/0	0	0	0	0	0	0	0	0	0	0	0	0	4	93
Tim Hightower, NO RB	Tim Hightower	 NO RB		0/0	0	0	0	133	548	4	22	200	1	26	0	0	0	92
Rashad Jennings, NYG RB	Rashad Jennings	 NYG RB		0/0	0	0	0	181	593	3	35	201	1	42	0	0	0	92
DeVante Parker, Mia WR	DeVante Parker	 Mia WR		0/0	0	0	0	0	0	0	56	744	4	90	0	0	0	92
Mike Nugent, Cin K	Mike Nugent	 Cin K		0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	91
Jordan Matthews, Phi WR	Jordan Matthews	 Phi WR		0/0	0	0	0	0	0	0	73	804	3	117	0	0	0	91
James White, NE RB	James White	 NE RB		0/0	0	0	0	39	166	0	60	551	5	86	0	0	0	91
Steelers D/ST D/ST	#VALUE!	#VALUE!		0/0	0	0	0	0	0	0	0	0	0	0	0	0	1	91
Antonio Gates, SD TE	Antonio Gates	 SD TE		0/0	0	0	0	0	0	0	53	548	7	92	0	1	0	90
Matt Asiata, Min RB	Matt Asiata	 Min RB		0/0	0	0	0	121	402	6	32	263	0	38	0	1	0	90
Hunter Henry, SD TE	Hunter Henry	 SD TE		0/0	0	0	0	0	0	0	36	478	8	54	0	1	0	90
Brandon Marshall, NYG WR	Brandon Marshall	 NYG WR		0/0	0	0	0	0	0	0	59	788	3	128	0	0	0	89
Alshon Jeffery, Phi WR	Alshon Jeffery	 Phi WR		0/0	0	0	0	0	0	0	52	821	2	95	0	0	0	89
Falcons D/ST D/ST	#VALUE!	#VALUE!		0/0	0	0	0	0	0	0	0	0	0	0	0	0	5	88
Ty Montgomery, GB WR, RB  Q	Ty Montgomery	 GB WR, RB  Q		0/0	0	0	0	77	457	3	44	348	0	56	0	1	0	87
Andrew Franks, Mia K	Andrew Franks	 Mia K		0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	87
Chris Thompson, Wsh RB	Chris Thompson	 Wsh RB		0/0	0	0	0	68	356	3	49	349	2	62	0	1	0	86
Connor Barth, Chi K	Connor Barth	 Chi K		0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	85
Derrick Henry, Ten RB	Derrick Henry	 Ten RB		0/0	0	0	0	110	490	5	13	137	0	15	0	0	0	85
Chris Hogan, NE WR	Chris Hogan	 NE WR		0/0	0	0	0	3	9	0	38	680	4	57	0	1	0	84
Greg Zuerlein, LA K	Greg Zuerlein	 LA K		0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	84
Cody Parkey, Cle K	Cody Parkey	 Cle K		0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	84
Randall Cobb, GB WR	Randall Cobb	 GB WR		0/0	0	0	0	10	33	0	60	610	4	84	0	0	0	83
Mohamed Sanu, Atl WR	Mohamed Sanu	 Atl WR		0/0	0	0	0	1	5	0	59	653	4	81	1	1	0	83
Cowboys D/ST D/ST	#VALUE!	#VALUE!		0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	82
Bills D/ST D/ST	#VALUE!	#VALUE!		0/0	0	0	0	0	0	0	0	0	0	0	0	0	3	81
C.J. Anderson, Den RB  Q	C.J. Anderson	 Den RB  Q		0/0	0	0	0	110	437	4	16	128	1	25	0	0	0	80
Travis Benjamin, SD WR  Q	Travis Benjamin	 SD WR  Q		0/1	0	0	0	2	-3	0	47	677	4	76	0	3	0	79
Jack Doyle, Ind TE	Jack Doyle	 Ind TE		0/0	0	0	0	0	0	0	59	584	5	75	0	1	0	79
Bengals D/ST D/ST	#VALUE!	#VALUE!		0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	79
Coby Fleener, NO TE	Coby Fleener	 NO TE		0/0	0	0	0	1	2	1	50	631	3	82	0	0	0	78
Tavon Austin, LA WR	Tavon Austin	 LA WR		0/0	0	0	0	28	159	1	58	509	3	107	0	1	0	78
Eric Ebron, Det TE	Eric Ebron	 Det TE		0/0	0	0	0	1	1	1	61	711	1	86	0	0	0	78
Duke Johnson Jr., Cle RB	Duke Johnson Jr.	 Cle RB		0/1	0	0	0	73	358	1	53	514	0	72	0	1	0	78
Jason Witten, Dal TE	Jason Witten	 Dal TE		0/0	0	0	0	0	0	0	69	673	3	95	0	1	0	77
DeAngelo Williams, Pit RB	DeAngelo Williams	 Pit RB		0/0	0	0	0	98	343	4	18	118	2	27	0	0	0	77
Brian Hoyer, SF QB	Brian Hoyer	 SF QB		134/200	1445	6	0	7	-2	0	0	0	0	0	0	1	0	77
Jeremy Kerley, SF WR	Jeremy Kerley	 SF WR		0/0	0	0	0	0	0	0	64	667	3	115	0	1	0	77
Jalen Richard, Oak RB	Jalen Richard	 Oak RB		0/0	0	0	0	83	491	1	29	194	2	39	0	0	0	77
Dennis Pitta, Bal TE	Dennis Pitta	 Bal TE		0/0	0	0	0	0	0	0	86	729	2	119	0	1	0	76
Terrance Williams, Dal WR	Terrance Williams	 Dal WR		0/0	0	0	0	0	0	0	44	594	4	61	0	1	0	76
Will Fuller V, Hou WR	Will Fuller V	 Hou WR		0/0	0	0	0	1	-3	0	47	635	2	92	0	0	1	76
C.J. Fiedorowicz, Hou TE	C.J. Fiedorowicz	 Hou TE		0/0	0	0	0	0	0	0	54	559	4	89	0	0	0	75
Tyler Lockett, Sea WR  Q	Tyler Lockett	 Sea WR  Q		0/0	0	0	0	6	114	1	41	597	1	67	0	0	0	75
T.J. Yeldon, Jax RB  Q	T.J. Yeldon	 Jax RB  Q		0/0	0	0	0	130	465	1	50	312	1	68	0	1	0	75
Packers D/ST D/ST	#VALUE!	#VALUE!		0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	75
Jaguars D/ST D/ST	#VALUE!	#VALUE!		0/0	0	0	0	0	0	0	0	0	0	0	0	0	2	75
Dwayne Allen, NE TE	Dwayne Allen	 NE TE		0/0	0	0	0	0	0	0	35	406	6	52	1	0	0	74
Giovani Bernard, Cin RB  Q	Giovani Bernard	 Cin RB  Q		0/0	0	0	0	91	337	2	39	336	1	51	0	1	0	74
Raiders D/ST D/ST	#VALUE!	#VALUE!		0/0	0	0	0	0	0	0	0	0	0	0	0	0	1	74
Charles Clay, Buf TE	Charles Clay	 Buf TE		0/0	0	0	0	0	0	0	57	552	4	87	0	0	0	73
Robert Turbin, Ind RB	Robert Turbin	 Ind RB		0/0	0	0	0	47	164	7	26	179	1	35	0	0	0	73
Michael Floyd, NE WR	Michael Floyd	 NE WR		0/0	0	0	0	0	0	0	37	488	5	77	0	0	0	73
Shaun Draughn, NYG RB	Shaun Draughn	 NYG RB		0/0	0	0	0	74	196	4	29	263	2	39	0	1	0	72
Cody Kessler, Cle QB	Cody Kessler	 Cle QB		128/195	1380	6	2	11	18	0	0	0	0	0	1	1	0	72
Eli Rogers, Pit WR	Eli Rogers	 Pit WR		0/0	0	0	0	1	6	0	48	594	3	66	0	0	0	72
Rams D/ST D/ST	#VALUE!	#VALUE!		0/0	0	0	0	0	0	0	0	0	0	0	0	0	1	72
